Brand,Family,"EDP / EDT / Set, etc.","Size, oz.",Retailer,Rating (5/5),# of reviews,"Review (after 06/19/2017, fragrances and gift sets only + DK deo)",Y/N (Reccom),Date,ExpectedTitle,Link
DKNY,Be Delicious,EDP,3.4,Sephora,4.5,894,prior to 06/19/2017,-,7/9/2017,Be Delicious,http://www.sephora.com/be-delicious-P79615?skuId=795294&icid2=dkny_editorspicks_us_carousel%20%3Ap79615
DKNY,Be Delicious,EDP Rollerball,0.34,Sephora,5,23,prior to 06/19/2017,-,7/9/2017,Be Delicious,http://www.sephora.com/dkny-be-delicious-rollerball-P387624?skuId=1638121&icid2=dkny_editorspicks_us_carousel%20:p387624
DKNY,Be Delicious,EDP Spray,1.7,Bloomingdales,5,2,prior to 06/19/2017,N/A,7/9/2017,Be Delicious,https://www.bloomingdales.com/shop/product/dkny-be-delicious-eau-de-parfum-spray-1.7-oz.?ID=40804
DKNY,Be Delicious,EDP Spray,1.7,Bloomingdales,5,6,prior to 06/19/2017,N/A,7/9/2017,Be Delicious,https://www.bloomingdales.com/shop/product/donna-karan-cashmere-mist-eau-de-parfum-spray-1.7-oz.?ID=450673
DKNY,Be Delicious,EDP Spray,3.4,Bloomingdales,5,6,prior to 06/19/2017,N/A,7/9/2017,Be Delicious,https://www.bloomingdales.com/shop/product/donna-karan-cashmere-mist-eau-de-parfum-spray-3.4-oz.?ID=90520
DKNY,Be Delicious,EDP Spray,6.7,Bloomingdales,5,6,prior to 06/19/2017,N/A,7/9/2017,Be Delicious,https://www.bloomingdales.com/shop/product/donna-karan-cashmere-mist-eau-de-parfum-6.7-oz.?ID=1063566
Donna Karan,Cashmere Mist,Gift Set,3-Pc.,Macy's,4,13,good perfume. Good perfume smells good is soft and not like others that annoy the smell jijijiji,Y,6/30/2017,Cashmere Mist,https://www.macys.com/shop/product/donna-karan-3-pc.-cashmere-mist-gift-set?ID=4432325
Donna Karan,Cashmere Mist,Luxuries Set,4-Pc.,Macy's,-,0,-,N/A,7/9/2017,Cashmere Mist,https://www.macys.com/shop/product/donna-karan-4-pc.-cashmere-mist-luxuries-set?ID=4749527
Donna Karan,Cashmere Aura,EDP Rollerball,0.34,Ulta,4,2,Fabulous Scent. Convenient and easy to transport.,Y,6/30/2017,Cashmere Aura,http://www.ulta.com/cashmere-aura-eau-de-parfum-rollerball?productId=xlsImpprod14391043
Donna Karan,Cashmere Mist,Gift Set,4-Pc.,Macy's,4,5,prior to 06/19/2017,-,7/9/2017,Cashmere Mist,https://www.macys.com/shop/product/donna-karan-4-pc.-cashmere-mist-gift-set?ID=4405020
Donna Karan,Cashmere Aura,EDP,3.4,Macy's,5,10,"Best produce ever. Great produce, I will buy again in the future!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",N/A,7/7/2017,Cashmere Aura,https://www.macys.com/shop/product/donna-karan-cashmere-aura-eau-de-parfum-3.4-oz?ID=2839317
Donna Karan,Cashmere Aura,EDP,3.4,Macy's,5,9,Mesmerizingly heavenly. I have always been intrigued by Donna Karan since a young 20 year old. As I was going through fragrances I like to see new fragrances. A sales lady walked up to spray on some perfume SHE recommended. I sprayed on Donna Karan Cashmere Aura. I didn'the like it. As I approached Juniors there was a wonderful fragrance in the air near me. As I said something smells so good. I smelled my arm my heavenly scent. Light and capturing. I made a uturn went back to counter and purchased a travelers bottle. As I love it now. I went back to purchase a 3.4 only to find all stores had sent it back. I just ordered an available gift box from Macy's. This is my coping mega ism. So happy....,Y,6/24/2017,Cashmere Aura,https://www.macys.com/shop/product/donna-karan-cashmere-aura-eau-de-parfum-3.4-oz?ID=2839317
Donna Karan,Cashmere Aura,EDP Rollerball,0.34,Macy's,5,3,-,-,7/9/2017,Cashmere Aura,https://www.macys.com/shop/product/donna-karan-cashmere-aura-eau-de-parfum-rollerball-0.34-oz?ID=2839956
Donna Karan,Cashmere Aura,Spring Gift Set,,Macy's,-,0,-,N/A,7/9/2017,Cashmere Aura,https://www.macys.com/shop/product/donna-karan-cashmere-aura-spring-gift-set?ID=4507590
Donna Karan,Cashmere Mist,Deodorant,1.7,Macy's,5,202,"It's smell so good my husband love the smell, it's. It's smell so good my husband love the smell, it's last long I loved it I recommend this product.",Y,7/7/2017,Cashmere Mist,https://www.macys.com/shop/product/donna-karan-cashmere-mist-deodorant-1.7-oz?ID=92782
Donna Karan,Cashmere Mist,Deodorant,1.7,Macy's,5,201,Great deoderant. Love the subtle smell. I don't mind spending more for this have-to-have.,Y,6/30/2017,Cashmere Mist,https://www.macys.com/shop/product/donna-karan-cashmere-mist-deodorant-1.7-oz?ID=92782
